"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"18/01","Autriche","Markus Suttner","in","Brighton","England","Düsseldorf","Germany","Loan"
"31/01","Pologne","Dawid Kownacki","in","Sampdoria","Italy","Düsseldorf","Germany","Loan"
"28/05","Etats-Unis","J.  Kiesewetter","out","Düsseldorf","Germany",NA,NA,"Free"
"28/05","Japon","Toshiki Kinjo","out","Düsseldorf","Germany",NA,NA,"Free"
"30/06","Allemagne","Florian Neuhaus","out","Düsseldorf","Germany","M'gladbach",NA,"Return from loan"
"30/06","Allemagne","Jean Zimmer","out","Düsseldorf","Germany","Stuttgart",NA,"Return from loan"
"01/07","Allemagne","Bellinghausen","out","Düsseldorf","Germany",NA,NA,""
"01/07","Japon","Genki Haraguchi","out","Düsseldorf","Germany","Hannover 96",NA,"4.5 M€"
"01/07","Allemagne","Marlon Ritter","out","Düsseldorf","Germany","Paderborn",NA,""
"01/07","Allemagne","J.  Schauerte","out","Düsseldorf","Germany","Eupen","Belgium",""
"01/07","Allemagne","Lukas Schmitz","out","Düsseldorf","Germany","WAC","Austria",""
"01/07","Allemagne","Christian Weber","out","Düsseldorf","Germany",NA,NA,""
"16/07","Allemagne","Emmanuel Iyoha","out","Düsseldorf","Germany","Aue",NA,"Loan"
"08/01","Norvège","Havard Nielsen","out","Düsseldorf","Germany","Duisburg",NA,"Loan"
"10/01","Allemagne","J.  Bühler","out","Düsseldorf","Germany","Aalen",NA,"Loan"
"22/01","Allemagne","Gökhan Gül","out","Düsseldorf","Germany","Wehen",NA,"Loan"
"30/05","Autriche","Adolf Hütter","in","Young Boys","Switzerland","E Francfort","Germany","manager"
"12/06","Allemagne","Nicolai Müller","in","HSV",NA,"E Francfort","Germany","Free"
"19/06","Allemagne","Felix Wiedwald","in","Leeds","England","E Francfort","Germany","Free"
"30/06","Autriche","C.  Peintinger","in","Young Boys","Switzerland","E Francfort","Germany","assistant manager"
"01/07","Danemark","F.  Rönnow","in","Bröndby","Denmark","E Francfort","Germany","2.8 M€"
"02/07","Espagne","Lucas Torró","in","Osasuna","Spain","E Francfort","Germany","1.8 M€"
"05/07","France","O. E.  N'Dicka","in","Auxerre","France","E Francfort","Germany","1 M€"
"12/07","Portugal","G.  Paciencia","in","FC Porto","Portugal","E Francfort","Germany",""
"25/07","Brésil","Allan","in","Liverpool","England","E Francfort","Germany","Loan"
"27/07","Portugal","Chico Geraldes","in","Sporting CP","Portugal","E Francfort","Germany","Loan"
"20/08","Serbie","Filip Kostic","in","HSV",NA,"E Francfort","Germany",""
"31/08","Allemagne","Kevin Trapp","in","Paris S-G","France","E Francfort","Germany","Loan"
"01/01","Allemagne","Sebastian Rode","in","Dortmund",NA,"E Francfort","Germany","Loan"
"31/01","Autriche","M.  Hinteregger","in","Augsburg",NA,"E Francfort","Germany","Loan"
"31/01","Mali","Almamy Touré","in","Monaco","France","E Francfort","Germany","750 k€"
"20/06","Allemagne","Aymen Barkok","out","E Francfort","Germany","Düsseldorf",NA,"Loan"
"30/06","Finlande","Lucas Hradecky","out","E Francfort","Germany","Bayer",NA,"Free"
"01/07","Croatie","Niko Kovac","out","E Francfort","Germany","Bayern",NA,"manager"
"01/07","Croatie","Robert Kovac","out","E Francfort","Germany","Bayern",NA,"assistant manager"
"01/07","Espagne","Omar Mascarell","out","E Francfort","Germany","Real Madrid","Spain","4 M€"
"01/07","Allemagne","Alexander Meier","out","E Francfort","Germany",NA,NA,""
"01/07","Portugal","Sergio Pinto","out","E Francfort","Germany","Greuther Fürth",NA,"membre du staff"
"01/07","Allemagne","Marius Wolf","out","E Francfort","Germany","Dortmund",NA,"5 M€"
"05/07","Ghana","K.-P. Boateng","out","E Francfort","Germany","Sassuolo","Italy",""
"28/08","Allemagne","Danny Blum","out","E Francfort","Germany","Las Palmas","Spain","Loan"
"31/08","Japon","Daichi Kamada","out","E Francfort","Germany","Saint-Trond","Belgium","Loan"
"24/12","Portugal","Chico Geraldes","out","E Francfort","Germany","Sporting CP","Portugal","Return from loan"
"01/01","Allemagne","Nicolai Müller","out","E Francfort","Germany","Hannover 96",NA,"Loan"
"02/01","Allemagne","Felix Wiedwald","out","E Francfort","Germany","Duisburg",NA,"Loan"
"21/01","Mexique","Carlos Salcedo","out","E Francfort","Germany","Tigres UANL","Mexico","8.8 M€"
"05/02","Brésil","Allan","out","E Francfort","Germany","Fluminense","Brazil","Loan"
"08/02","Mexique","Marco Fabián","out","E Francfort","Germany","Philadelphia","United States",""
